Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
25,4990761013,cantfademe (2/5),0,106.6,C Nazem Kadri C Mikael Backlund D Quinn Hughes D Rasmus Andersson G Dustin Wolf UTIL Connor Zary W Nikita Kucherov W Matt Coronato W Blake Coleman,,Jason Zucker,W,12.10%,13
26,4990512436,OneDropKing (5/5),0,106.30001,C Nazem Kadri C Anze Kopitar D Rasmus Andersson D Drew Doughty G Darcy Kuemper UTIL Andrei Kuzmenko W Brandon Hagel W Adrian Kempe W Kevin Fiala,,Dustin Wolf,G,12.10%,9.5
26,4990761014,cantfademe (3/5),0,106.30001,C Auston Matthews C Morgan Frost D Moritz Seider D Rasmus Andersson G Darcy Kuemper UTIL Brock Boeser W Matt Coronato W Conor Garland W Jonathan Huberdeau,,Matt Boldy,W,11.46%,14.9
28,4990535732,clothsofheaven (1/4),0,105.5,C Auston Matthews C Matty Beniers D Rasmus Andersson D Vince Dunn G Dustin Wolf UTIL Morgan Frost W Jared McCann W Matt Coronato W Jordan Eberle,,Filip Gustavsson,G,10.83%,18.6
29,4990408810,Cicima6709 (2/5),0,104.600006,C Auston Matthews C Nazem Kadri D Quinn Hughes D Mattias Samuelsson G Darcy Kuemper UTIL Blake Coleman W Conor Garland W Brock Boeser W Jake DeBrusk,,Emmitt Finnie,W,10.83%,2.8
30,4990761012,cantfademe (1/5),0,104.1,C Nazem Kadri C Morgan Frost D Rasmus Andersson D MacKenzie Weegar G Darcy Kuemper UTIL Conor Garland W Nikita Kucherov W Matt Coronato W Jonathan Huberdeau,,Joel Eriksson Ek,C,10.19%,33.5
30,4991150941,tecmo27 (5/5),0,104.09999,C Dylan Larkin C Andrew Copp D Moritz Seider D Conor Timmins G John Gibson UTIL Patrick Kane W Alex DeBrincat W Lucas Raymond W Blake Coleman,,Kirill Kaprizov,W,10.19%,13
32,4991057426,cutnutz35 (1/2),0,101.99999,C Josh Norris C Andrew Copp D Rasmus Dahlin D John Marino G Filip Gustavsson UTIL Vladimir Tarasenko W Alex DeBrincat W Tage Thompson W Patrick Kane,,Clayton Keller,W,10.19%,18
33,4990505258,I_Slewfoot_U (1/5),0,101.399994,C Dylan Larkin C Shane Wright D Moritz Seider D Mikey Anderson G John Gibson UTIL Alex DeBrincat W Lucas Raymond W Patrick Kane W Emmitt Finnie,,JJ Peterka,W,10.19%,5
34,4990672159,Jack_Of_All_Trades (2/4),0,101.2,C Dylan Larkin C Mikael Backlund D Moritz Seider D Adam Larsson G Dennis Hildeby UTIL Blake Coleman W Alex DeBrincat W Lucas Raymond W Kiefer Sherwood,,Tage Thompson,W,10.19%,14.3
35,4990736906,hopkinst,0,100.30001,C Auston Matthews C Morgan Frost D Morgan Rielly D Brock Faber G Darcy Kuemper UTIL Mats Zuccarello W Matthew Knies W Matt Coronato W Jonathan Huberdeau,,Nick Schmaltz,C,9.55%,10.6
35,4989517490,jdmercer,0,100.3,C Morgan Frost C Andrew Copp D Quinn Hughes D Rasmus Andersson G Filip Gustavsson UTIL Conor Garland W Alex DeBrincat W Patrick Kane W Matt Coronato,,John Tavares,C,9.55%,6.3
