Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
107,4990461547,q80minouma,0,70.4,C Auston Matthews C Chandler Stephenson D Morgan Rielly D Darren Raddysh G Ukko-Pekka Luukkonen UTIL Jason Zucker W Nikita Kucherov W Matthew Knies W Max Domi,,Daniil But,UTIL,1.27%,5.8
108,4990404584,HossDaBeast (3/5),0,69.600006,C Auston Matthews C John Tavares D Morgan Rielly D Ian Cole G Ukko-Pekka Luukkonen UTIL Ryan McLeod W William Nylander W Jason Zucker W Jack Quinn,,Oliver Ekman-Larsson,D,1.27%,3
109,4991327268,jagibbs22 (1/5),0,69.5,C Dylan Larkin C David Kampf D Quinn Hughes D Mikey Anderson G Darcy Kuemper UTIL Brock Boeser W Alex DeBrincat W Lucas Raymond W Conor Garland,,Joel Farabee,UTIL,1.27%,10.6
110,4989795386,tommybomb7 (5/5),0,69.4,C Dylan Larkin C Andrew Copp D Brock Faber D Vince Dunn G Darcy Kuemper UTIL Patrick Kane W Alex DeBrincat W Lucas Raymond W Emmitt Finnie,,Troy Stecher,D,1.27%,1.3
110,4990422291,Cicima6709 (4/5),0,69.4,C Auston Matthews C Dylan Larkin D Mattias Samuelsson D Ben Chiarot G Ukko-Pekka Luukkonen UTIL Simon Edvinsson W Nikita Kucherov W Jason Zucker W Josh Doan,,Elias-Nils Pettersson,D,1.27%,0
112,4990422392,Cicima6709 (5/5),0,69.200005,C Auston Matthews C Dylan Larkin D Mattias Samuelsson D Conor Timmins G Ukko-Pekka Luukkonen UTIL Brock Boeser W Alex DeBrincat W Jason Zucker W Josh Doan,,Ryan McLeod,UTIL,0.64%,3
113,4991488558,antf94,0,69,C Morgan Frost C Andrew Copp D MacKenzie Weegar D Brandon Montour G Karel Vejmelka UTIL Blake Coleman W Nikita Kucherov W Brandon Hagel W Clayton Keller,,Ian Cole,D,0.64%,6.9
114,4991551876,TreyMonkey3,0,68.299995,C Dylan Larkin C Aatu Raty D Moritz Seider D Brock Faber G Karel Vejmelka UTIL Kiefer Sherwood W Matt Boldy W Patrick Kane W Emmitt Finnie,,Brian Dumoulin,UTIL,0.64%,5.8
115,4991299794,scotch2620,0,67.899994,C Dylan Larkin C Andrew Copp D Moritz Seider D Jake McCabe G Dustin Wolf UTIL Linus Karlsson W Alex DeBrincat W Lucas Raymond W Patrick Kane,,Max Sasson,C,0.64%,1.5
116,4991065812,cutnutz35 (2/2),0,67.3,C Dylan Larkin C Barrett Hayton D Rasmus Dahlin D John Marino G Karel Vejmelka UTIL Connor Zary W Tage Thompson W Lucas Raymond W Patrick Kane,,Warren Foegele,UTIL,0.64%,2.8
117,4990505259,I_Slewfoot_U (2/5),0,66.700005,C Auston Matthews C John Tavares D Quinn Hughes D John Marino G Ukko-Pekka Luukkonen UTIL Conor Garland W Brock Boeser W Jake DeBrusk W Kiefer Sherwood,,Evander Kane,W,0.64%,3
118,4991259047,vishy2773 (4/5),0,66.6,C John Tavares C Josh Norris D Rasmus Dahlin D Vince Dunn G Ukko-Pekka Luukkonen UTIL Mason Marchment W Tage Thompson W Jason Zucker W Josh Doan,,Jake Middleton,D,0.64%,6.3
119,4990722878,novice1,0,65.6,C Dylan Larkin C Brayden Point D Moritz Seider D Filip Hronek G Darcy Kuemper UTIL Patrick Kane W Lucas Raymond W Emmitt Finnie W Blake Coleman,,Corey Perry,W,0.64%,0
120,4990512346,OneDropKing (1/5),0,65,C Barrett Hayton C Yanni Gourde D Rasmus Dahlin D Mikhail Sergachev G Ukko-Pekka Luukkonen UTIL Dylan Guenther W Nikita Kucherov W Clayton Keller W JJ Peterka,,Vladimir Tarasenko,UTIL,0.64%,11.5
121,4991380330,Rainspades (1/2),0,64.2,C Josh Norris C Yanni Gourde D Morgan Rielly D Filip Hronek G Kevin Lankinen UTIL Brandon Montour W Nikita Kucherov W Tage Thompson W Alex Tuch,,Tyler Myers,D,0.64%,2.8
122,4991259044,vishy2773 (1/5),0,64,C Nick Schmaltz C Nicolas Roy D Quinn Hughes D Mikhail Sergachev G Kevin Lankinen UTIL Conor Garland W Clayton Keller W Dylan Guenther W JJ Peterka,,Marcus Pettersson,D,0.64%,4.3
123,4990430712,FatsoFat6969,0,63.800003,C Brayden Point C Mikael Backlund D Quinn Hughes D Darren Raddysh G Jonas Johansson UTIL Conor Garland W Nikita Kucherov W Brock Boeser W Blake Coleman,,Zeev Buium,D,0.64%,2.8
123,4991076058,drscoopy007,0,63.8,C Dylan Larkin C Andrew Copp D Moritz Seider D Darren Raddysh G Karel Vejmelka UTIL Anthony Cirelli W Alex DeBrincat W Nick Paul W Jason Zucker,,Mason Marchment,UTIL,0.64%,1.3
125,4990535734,clothsofheaven (3/4),0,63.499996,C Dylan Larkin C Josh Norris D Moritz Seider D Brandon Montour G Karel Vejmelka UTIL Jake DeBrusk W Lucas Raymond W Josh Doan W Zach Benson,,James van Riemsdyk,W,0.64%,20.3
126,4990408785,Cicima6709 (1/5),0,63.200005,C Auston Matthews C Dylan Larkin D Mattias Samuelsson D Conor Timmins G Ukko-Pekka Luukkonen UTIL Jake DeBrusk W Lucas Raymond W Conor Garland W Brock Boeser,,Marco Rossi,C,0.64%,0
127,4989795383,tommybomb7 (2/5),0,62.6,C Dylan Larkin C David Kampf D Moritz Seider D Charle-Edouard D'Astous G Darcy Kuemper UTIL Brock Boeser W Alex DeBrincat W Lucas Raymond W Patrick Kane,,Ryan Hartman,C,0.64%,2.8
128,4991093583,badlee,0,60.799995,C Anthony Cirelli C Andrew Copp D Conor Timmins D Charle-Edouard D'Astous G Darcy Kuemper UTIL Patrick Kane W Nikita Kucherov W Brandon Hagel W Alex DeBrincat,,Victor Hedman,D,0.64%,1.5
129,4991281383,bengalsfan2010 (1/2),0,60.5,C John Tavares C Danila Yurov D Jonas Brodin D Drew Doughty G Darcy Kuemper UTIL Mats Zuccarello W Kirill Kaprizov W William Nylander W Easton Cowan,,Jack McBain,C,0.64%,2.6
130,4990846642,hawkeyemcnutt (1/3),0,58.1,C Anthony Cirelli C Danila Yurov D Jake Middleton D J.J. Moser G Darcy Kuemper UTIL Kirill Kaprizov W Nikita Kucherov W Brandon Hagel W Easton Cowan,,,
131,4990563972,mbhabes,0,57.8,C Nick Schmaltz C Max Sasson D Mikhail Sergachev D Darren Raddysh G Ukko-Pekka Luukkonen UTIL Clayton Keller W Nikita Kucherov W Dylan Guenther W JJ Peterka,,,
132,4991417160,halliam1114,0,57.7,C Dylan Larkin C Matty Beniers D Quinn Hughes D Simon Edvinsson G Ukko-Pekka Luukkonen UTIL Jake DeBrusk W Lucas Raymond W Jared McCann W Jordan Eberle,,,
133,4990822866,cw279 (2/2),0,57.499996,C Dylan Larkin C Morgan Frost D Moritz Seider D Charle-Edouard D'Astous G Karel Vejmelka UTIL Alex DeBrincat W Lucas Raymond W Patrick Kane W Connor Zary,,,
134,4991028262,isupol (3/4),0,56.600002,C Brayden Point C Nick Schmaltz D Mikhail Sergachev D Darren Raddysh G Ukko-Pekka Luukkonen UTIL Andrei Kuzmenko W Jake Guentzel W Clayton Keller W JJ Peterka,,,
135,4991210292,virtusos,0,55.899998,C Dylan Larkin C Josh Norris D Moritz Seider D Mikhail Sergachev G Ukko-Pekka Luukkonen UTIL Lucas Raymond W JJ Peterka W Josh Doan W Emmitt Finnie,,,
136,4990804618,howz219,0,55.799995,C Brayden Point C Chandler Stephenson D Bowen Byram D Conor Timmins G Darcy Kuemper UTIL Jake Guentzel W Nikita Kucherov W Brandon Hagel W Josh Doan,,,
137,4990701181,saulgoodman23 (3/5),0,54.699997,C Anthony Cirelli C Andrew Copp D J.J. Moser D Yan Kuznetsov G Ukko-Pekka Luukkonen UTIL Patrick Kane W Nikita Kucherov W Brandon Hagel W Alex DeBrincat,,,
138,4990801012,stevegoodman,0,53.1,C Brayden Point C Anthony Cirelli D Darren Raddysh D Mikey Anderson G Darcy Kuemper UTIL Conor Garland W Nikita Kucherov W Jake Guentzel W Oliver Bjorkstrand,,,
139,4991444784,lucasjackson,0,50.1,C Brayden Point C Andrew Copp D Brock Faber D Darren Raddysh G Ukko-Pekka Luukkonen UTIL Jake DeBrusk W Nikita Kucherov W Jake Guentzel W Brock Boeser,,,
140,4990404582,HossDaBeast (1/5),0,49.7,C Nick Schmaltz C Anthony Cirelli D Conor Timmins D Charle-Edouard D'Astous G Ukko-Pekka Luukkonen UTIL JJ Peterka W Nikita Kucherov W Brandon Hagel W Clayton Keller,,,
141,4990701182,saulgoodman23 (4/5),0,49.1,C Anthony Cirelli C Andrew Copp D Darren Raddysh D Filip Hronek G Dustin Wolf UTIL Brock Boeser W Nikita Kucherov W Brandon Hagel W Conor Garland,,,
142,4990410318,tide182 (1/2),0,48.600002,C Dylan Larkin C Josh Norris D Quinn Hughes D Moritz Seider G Ukko-Pekka Luukkonen UTIL Conor Garland W Brock Boeser W Josh Doan W Zach Benson,,,
143,4991403061,Rainspades (2/2),0,48.1,C Marco Rossi C Ryan Hartman D Victor Hedman D Brock Faber G Dustin Wolf UTIL Mattias Samuelsson W Matt Boldy W Jared McCann W Mats Zuccarello,,,
144,4990535733,clothsofheaven (2/4),0,47.6,C Mikael Backlund C Aatu Raty D Moritz Seider D Darren Raddysh G Darcy Kuemper UTIL Conor Garland W Nikita Kucherov W Brandon Hagel W Brock Boeser,,,
145,4990404583,HossDaBeast (2/5),0,47.2,C Brayden Point C Josh Norris D Darren Raddysh D Jonas Brodin G Ukko-Pekka Luukkonen UTIL Josh Doan W Nikita Kucherov W Jake Guentzel W Zach Benson,,,
146,4990410319,tide182 (2/2),0,46.5,C Anthony Cirelli C David Kampf D Moritz Seider D Conor Timmins G Filip Gustavsson UTIL Conor Garland W Nikita Kucherov W Brandon Hagel W Brock Boeser,,,
147,4991150069,CosaSpeciale (2/5),0,46.100002,C Dylan Larkin C Matty Beniers D Vince Dunn D Zeev Buium G Ukko-Pekka Luukkonen UTIL Patrick Kane W Alex DeBrincat W Jared McCann W Jordan Eberle,,,
148,4990860442,LushyLeanPocket,0,46,C Anthony Cirelli C David Kampf D Quinn Hughes D Conor Timmins G Darcy Kuemper UTIL Brock Boeser W Nikita Kucherov W Brandon Hagel W Conor Garland,,,
149,4990939324,Hunter4ever89,0,44.199997,C Anthony Cirelli C Andrew Copp D Bowen Byram D Charle-Edouard D'Astous G Ukko-Pekka Luukkonen UTIL Patrick Kane W Nikita Kucherov W Brandon Hagel W Alex DeBrincat,,,
150,4991522353,billyho1313,0,40.899998,C Dylan Larkin C David Kampf D Quinn Hughes D Moritz Seider G Ukko-Pekka Luukkonen UTIL Anthony Cirelli W Patrick Kane W Conor Garland W Brock Boeser,,,
151,4990898022,supremexjp,0,40.2,C Dylan Larkin C Yanni Gourde D Moritz Seider D Drew Doughty G Ukko-Pekka Luukkonen UTIL Emmitt Finnie W Alex DeBrincat W Lucas Raymond W Patrick Kane,,,
152,4990723837,nolt0032 (3/5),0,39.6,C John Tavares C Andrew Copp D Brandon Montour D Simon Edvinsson G Ukko-Pekka Luukkonen UTIL Patrick Kane W William Nylander W Alex DeBrincat W Easton Cowan,,,
153,4989795382,tommybomb7 (1/5),0,39,C Brayden Point C Josh Norris D Darren Raddysh D Drew Doughty G Ukko-Pekka Luukkonen UTIL Josh Doan W Nikita Kucherov W Jake Guentzel W Oliver Bjorkstrand,,,
154,4990775503,FilthyDubsy,0,35.4,C John Tavares C Barrett Hayton D Quinn Hughes D Oliver Ekman-Larsson G Kevin Lankinen UTIL Conor Garland W William Nylander W Brock Boeser W Jake DeBrusk,,,
155,4990527068,h418ov21c (3/5),0,34.4,C Dylan Larkin C John Tavares D Moritz Seider D Brandon Montour G Ukko-Pekka Luukkonen UTIL Patrick Kane W Lucas Raymond W Lawson Crouse W Michael Carcone,,,
156,4990761806,cantfademe (5/5),0,34.300003,C Anthony Cirelli C Aatu Raty D Quinn Hughes D Mattias Samuelsson G Ukko-Pekka Luukkonen UTIL Kiefer Sherwood W Nikita Kucherov W Brandon Hagel W Evander Kane,,,
157,4990723314,nolt0032 (2/5),0,32.8,C Anthony Cirelli C Matty Beniers D Vince Dunn D Conor Timmins G Ukko-Pekka Luukkonen UTIL Jordan Eberle W Nikita Kucherov W Brandon Hagel W Jared McCann,,,
