Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5002896803,bkreider (3/5),377.34,47.699997,C Dylan Cozens C Ryan McLeod D Zach Werenski D Rasmus Dahlin G Linus Ullmark UTIL Brady Tkachuk W Drake Batherson W Jack Quinn W David Perron,,Connor McDavid,C,25.29%,5
2,5003456620,hawkeyemcnutt (2/5),390.78998,43.8,C Connor McDavid C Leon Draisaitl D Cam York D LOCKED G Jet Greaves UTIL Christian Dvorak W Zach Hyman W Ryan Nugent-Hopkins W Zack Bolduc,,Tim Stuetzle,C,22.35%,6.5
3,5003007390,cantfademe (4/5),365.78,37.3,C Tim Stuetzle C Dylan Cozens D Zach Werenski D Ryan McDonagh G Dennis Hildeby UTIL Alex Tuch W Brady Tkachuk W Drake Batherson W David Perron,,Brady Tkachuk,W,21.18%,10
4,5003090424,cutnutz35 (2/5),357.69,37.2,C Connor McDavid C Tim Stuetzle D Jakob Chychrun D Artyom Levshunov G Spencer Knight UTIL Connor McMichael W Brady Tkachuk W Fabian Zetterlund W Nick Lardis,,Jesper Wallstedt,G,21.18%,-0.7
5,5003093456,badlee,360,36.8,C Connor McDavid C Elias Lindholm D Jake McCabe D J.J. Moser G Andrei Vasilevskiy UTIL Vladimir Tarasenko W Morgan Geekie W Zach Hyman W Ryan Nugent-Hopkins,,Zach Hyman,W,19.41%,0
6,5002865424,giantsquid (1/3),358.46,34.6,C Tim Stuetzle C Dylan Cozens D Jake Sanderson D Rasmus Sandin G Linus Ullmark UTIL Drake Batherson W Brady Tkachuk W Ivan Demidov W Juraj Slafkovsky,,Ryan McDonagh,D,16.47%,1.5
7,5003429999,isupol (4/5),357.69,33.600002,C Adam Fantilli C Pavel Zacha D Zach Werenski D Lane Hutson G Dennis Hildeby UTIL Ivan Demidov W Kirill Marchenko W Dmitri Voronkov W Juraj Slafkovsky,,Dennis Hildeby,G,16.47%,-2.8
8,5002762105,I_Slewfoot_U (5/5),380,33.399998,C Elias Lindholm C Pavel Zacha D Zach Werenski D Charlie McAvoy G Jeremy Swayman UTIL LOCKED W David Pastrnak W Morgan Geekie W Yegor Chinakhov,,Matt Boldy,W,16.47%,1.3
9,5003128774,Hunter4ever89 (3/5),365.78,33.2,C Connor McDavid C Tim Stuetzle D Rasmus Ristolainen D Ryan McDonagh G Dennis Hildeby UTIL Ryan Nugent-Hopkins W Brady Tkachuk W Zach Hyman W Fabian Zetterlund,,Kirill Kaprizov,W,15.29%,1.5
10,5003135306,sullybrochill,380,32.899998,C Tim Stuetzle C Dylan Cozens D Jake Sanderson D Jared Spurgeon G Linus Ullmark UTIL LOCKED W Brady Tkachuk W Drake Batherson W Fabian Zetterlund,,Dylan Cozens,C,13.53%,1.5
10,5003570421,tecmo27 (1/5),365.78,32.899998,C Tim Stuetzle C Dylan Cozens D Jake Sanderson D Ryan McDonagh G Andrei Vasilevskiy UTIL Alex Tuch W Brady Tkachuk W Drake Batherson W Fabian Zetterlund,,Jake Sanderson,D,12.94%,0
12,5003459719,Splendid,377.34,32.7,C Connor McDavid C Leon Draisaitl D Evan Bouchard D Jake McCabe G Jesper Wallstedt UTIL Noah Cates W Matvei Michkov W Bobby Brink W Vasily Podkolzin,,Drake Batherson,W,12.35%,6.5
