Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
13,5002959134,DALLASTILL (2/2),397.34,30.599998,C Tim Stuetzle C Ryan McLeod D Jake Sanderson D Ryan McDonagh G LOCKED UTIL David Pastrnak W Brady Tkachuk W Alex Tuch W Jack Quinn,,Josh Doan,UTIL,11.76%,0
14,5003016547,virtusos,417.69,30.099998,C Frank Nazar C Dylan Cozens D Matt Grzelcyk D LOCKED G Jeremy Swayman UTIL LOCKED W Drake Batherson W Andre Burakovsky W LOCKED,,Ryan Nugent-Hopkins,W,11.76%,11.5
15,5002725165,HossDaBeast (5/5),371.56,29.9,C Elias Lindholm C Pavel Zacha D Charlie McAvoy D Ryan McDonagh G Andrei Vasilevskiy UTIL Tage Thompson W David Pastrnak W Morgan Geekie W Josh Doan,,Quinn Hughes,D,11.18%,1.3
16,5003181248,CosaSpeciale,440,29.5,C Dylan Cozens C LOCKED D Jake Sanderson D LOCKED G Igor Shesterkin UTIL LOCKED W Brady Tkachuk W Drake Batherson W Ryan Nugent-Hopkins,,Joel Eriksson Ek,C,11.18%,0
17,5003007357,cantfademe (2/5),440,28.599998,C Tim Stuetzle C LOCKED D Zach Werenski D LOCKED G Jesper Wallstedt UTIL LOCKED W Brady Tkachuk W Fabian Zetterlund W LOCKED,,David Pastrnak,W,10.00%,0
18,5003586497,tecmo27 (5/5),374.61,28.1,C Leon Draisaitl C Nick Suzuki D Lane Hutson D LOCKED G Jakub Dobes UTIL Zack Bolduc W Cole Caufield W Ivan Demidov W Juraj Slafkovsky,,Fabian Zetterlund,W,10.00%,0
19,5003041847,jagibbs22 (2/4),457.34,27.8,C LOCKED C LOCKED D Quinn Hughes D Jakob Chychrun G Igor Shesterkin UTIL Noah Cates W Matvei Michkov W Bobby Brink W LOCKED,,Nikita Kucherov,W,9.41%,0
20,5003119463,jeffank85,385.78,27.7,C Adam Fantilli C Ryan McLeod D Zach Werenski D Artem Zub G Jeremy Swayman UTIL LOCKED W Brady Tkachuk W Kirill Marchenko W Dmitri Voronkov,,Vladimir Tarasenko,W,9.41%,0
21,5002726062,tommybomb7 (3/5),397.69,27.5,C Connor McDavid C LOCKED D Lane Hutson D Brock Faber G LOCKED UTIL Ivan Demidov W Zach Hyman W Ryan Nugent-Hopkins W Juraj Slafkovsky,,Igor Shesterkin,G,9.41%,0
22,5002571533,saulgoodman23 (3/5),390.79,26.5,C Tim Stuetzle C Dylan Cozens D Jake Sanderson D LOCKED G Spencer Knight UTIL Alex Tuch W Brady Tkachuk W Drake Batherson W Josh Doan,,Anthony Mantha,W,8.82%,1.5
22,5002992265,cantfademe (1/5),380,26.5,C Tim Stuetzle C Anthony Cirelli D Ryan McDonagh D LOCKED G Dennis Hildeby UTIL Fabian Zetterlund W Nikita Kucherov W Brady Tkachuk W Jake Guentzel,,Morgan Geekie,W,8.82%,0
24,5003225062,drscoopy007,377.34,26.4,C Tage Thompson C Tim Stuetzle D Jake Sanderson D Jared Spurgeon G Andrei Vasilevskiy UTIL Brady Tkachuk W Josh Doan W Fabian Zetterlund W Peyton Krebs,,Alex Tuch,UTIL,8.24%,1.3
24,5003235367,DollarBillW (3/5),376.92,26.4,C Sidney Crosby C Nick Suzuki D Jared Spurgeon D Alexandre Carrier G LOCKED UTIL Zack Bolduc W Cole Caufield W Bryan Rust W Rickard Rakell,,Elias Lindholm,C,8.24%,5
26,5003080312,jagibbs22 (4/4),359.23,26,C Adam Fantilli C Tommy Novak D Zach Werenski D Quinn Hughes G Spencer Knight UTIL Justin Brazeau W Kirill Marchenko W Dmitri Voronkov W Anthony Mantha,,Tage Thompson,C,7.65%,1.5
27,5002725218,FilthyDubsy,400,25.8,C Tim Stuetzle C Dylan Cozens D Tyler Kleven D LOCKED G LOCKED UTIL Matt Boldy W Brady Tkachuk W Drake Batherson W David Perron,,Leon Draisaitl,C,7.65%,5
27,5003576755,Boutin,390.02,25.8,C Nick Suzuki C Tim Stuetzle D Dante Fabbro D Ryan McDonagh G LOCKED UTIL Josh Norris W Brady Tkachuk W Cole Caufield W Alex Tuch,,Spencer Knight,G,7.06%,0.7
29,5003235368,DollarBillW (4/5),417.34,25.599998,C Tage Thompson C Brayden Point D Mattias Samuelsson D LOCKED G Igor Shesterkin UTIL Josh Doan W Nikita Kucherov W Jake Guentzel W Oliver Bjorkstrand,,Darren Raddysh,D,7.06%,1.5
30,5003235366,DollarBillW (2/5),385.78,25.099998,C Connor McDavid C Adam Fantilli D Rasmus Ristolainen D Ryan McDonagh G LOCKED UTIL Kirill Marchenko W Zach Hyman W Ryan Nugent-Hopkins W Dmitri Voronkov,,Andrei Vasilevskiy,G,7.06%,5.6
31,5003128776,Hunter4ever89 (5/5),365.78,24.7,C Connor McDavid C Dylan Cozens D Jake Sanderson D Rasmus Ristolainen G Dennis Hildeby UTIL Ryan McDonagh W Zach Hyman W Drake Batherson W Ryan Nugent-Hopkins,,Zach Werenski,D,7.06%,12.8
32,5003586496,tecmo27 (4/5),380,24.5,C Connor McDavid C Tim Stuetzle D Evan Bouchard D Ryan McDonagh G LOCKED UTIL David Perron W Zach Hyman W Ryan Nugent-Hopkins W Fabian Zetterlund,,Oliver Bjorkstrand,W,6.47%,11.5
33,5002672260,gordylamb,380,24.3,C Connor McDavid C Danila Yurov D John Carlson D Jared Spurgeon G Igor Shesterkin UTIL Tom Wilson W Zach Hyman W Ryan Nugent-Hopkins W Vladimir Tarasenko,,Evan Bouchard,D,6.47%,0
34,5003374350,luckyguesses (5/5),380,24,C Anthony Cirelli C Yanni Gourde D Darren Raddysh D Jake McCabe G Jordan Binnington UTIL Anze Kopitar W Nikita Kucherov W Jake Guentzel W Adrian Kempe,,Jared Spurgeon,D,6.47%,2.8
35,5002939992,beardedbum (2/2),431.56,23.8,C Tim Stuetzle C Christian Dvorak D Erik Karlsson D LOCKED G LOCKED UTIL LOCKED W Brady Tkachuk W Bryan Rust W Carl Grundstrom,,Rickard Rakell,W,6.47%,4.3
35,5002609056,goldengoat29,400,23.8,C Connor McDavid C Tim Stuetzle D Ryan McDonagh D LOCKED G Jesper Wallstedt UTIL LOCKED W David Pastrnak W Oliver Bjorkstrand W Yegor Chinakhov,,Bryan Rust,W,6.47%,2.8
35,5003114367,ariedoz,400,23.8,C Tim Stuetzle C Dylan Cozens D Jake Sanderson D LOCKED G Jesper Wallstedt UTIL LOCKED W Brady Tkachuk W Drake Batherson W Vladimir Tarasenko,,Erik Karlsson,D,6.47%,0
38,5003015300,cantfademe (5/5),440,23.6,C Tim Stuetzle C LOCKED D Braden Schneider D Ryan McDonagh G Andrei Vasilevskiy UTIL LOCKED W Nikita Kucherov W Brady Tkachuk W LOCKED,,Ridly Greig,C,6.47%,0
38,5003128772,Hunter4ever89 (1/5),440,23.6,C Tim Stuetzle C LOCKED D Ryan McDonagh D LOCKED G Andrei Vasilevskiy UTIL LOCKED W Brady Tkachuk W Fabian Zetterlund W LOCKED,,Adam Fantilli,C,5.88%,1.5
38,5003090426,cutnutz35 (4/5),391.56,23.6,C Adam Fantilli C Dylan Cozens D Jakob Chychrun D Michael Kesselring G Igor Shesterkin UTIL Josh Norris W Kirill Marchenko W Drake Batherson W Dmitri Voronkov,,Rasmus Ristolainen,D,5.88%,1.5
41,5002909799,clothsofheaven (2/5),460,23,C Tim Stuetzle C LOCKED D Jake Sanderson D LOCKED G LOCKED UTIL LOCKED W Brady Tkachuk W Drake Batherson W LOCKED,,Jeremy Swayman,G,5.29%,-0.7
41,5003556579,NYMicky,425.78,23,C Connor McDavid C LOCKED D John Carlson D Darnell Nurse G Igor Shesterkin UTIL Elias Lindholm W Alex Tuch W Boone Jenner W LOCKED,,Brayden Point,C,5.29%,0
41,5002817704,AJTruth33 (2/2),400,23,C Adam Fantilli C Brayden Point D Zach Werenski D LOCKED G Dennis Hildeby UTIL LOCKED W Nikita Kucherov W Oliver Bjorkstrand W Yegor Chinakhov,,Dmitri Voronkov,UTIL,5.29%,1.3
41,5003355529,lucasjackson,365.78,23,C Tim Stuetzle C Elias Lindholm D Jared Spurgeon D Ryan McDonagh G Dennis Hildeby UTIL Josh Doan W David Pastrnak W Brady Tkachuk W Morgan Geekie,,Sidney Crosby,C,5.29%,0
41,5003090425,cutnutz35 (3/5),357.69,23,C Tim Stuetzle C Dylan Cozens D Rasmus Sandin D Wyatt Kaiser G Spencer Knight UTIL Nick Lardis W Kirill Kaprizov W Brady Tkachuk W Matt Boldy,,Kirill Marchenko,W,4.71%,2.8
46,5003007365,cantfademe (3/5),365.78,22.1,C Tim Stuetzle C Ridly Greig D Jake Sanderson D Travis Sanheim G Linus Ullmark UTIL Michael Amadio W Nikita Kucherov W Brady Tkachuk W Claude Giroux,,Brock Faber,D,4.71%,3
47,5002725161,HossDaBeast (1/5),397.34,21.9,C Joel Eriksson Ek C Ryan McLeod D Quinn Hughes D Ryan McDonagh G Igor Shesterkin UTIL Zach Benson W Kirill Kaprizov W Matt Boldy W Jack Quinn,,Charlie McAvoy,D,4.71%,6.3
48,5002571531,saulgoodman23 (1/5),382.35,21.8,C Tim Stuetzle C Christian Dvorak D Jake Sanderson D Alexandre Carrier G Jeremy Swayman UTIL Josh Doan W Brady Tkachuk W Trevor Zegras W Travis Konecny,,Cam York,D,4.71%,1.5
48,5003456621,hawkeyemcnutt (3/5),359.23,21.8,C Connor McDavid C Dylan Strome D Alexandre Carrier D Rasmus Sandin G Jesper Wallstedt UTIL Anthony Beauvillier W Alex Ovechkin W Zach Hyman W Ryan Nugent-Hopkins,,Ivan Demidov,UTIL,4.71%,0
48,5003531669,hawkeyemcnutt (4/5),359.23,21.8,C Connor McDavid C Dylan Strome D Alexandre Carrier D Rasmus Sandin G Jesper Wallstedt UTIL Anthony Beauvillier W Alex Ovechkin W Zach Hyman W Ryan Nugent-Hopkins,,Juraj Slafkovsky,W,4.71%,3
51,5002704270,Rickyk07,411.56,21.7,C Tim Stuetzle C Dylan Cozens D LOCKED D LOCKED G Dennis Hildeby UTIL Peyton Krebs W Brady Tkachuk W Drake Batherson W Josh Doan,,Claude Giroux,W,4.71%,0
52,5003586495,tecmo27 (3/5),420,21.5,C Connor McDavid C Leon Draisaitl D Evan Bouchard D LOCKED G LOCKED UTIL LOCKED W Zach Hyman W Oliver Bjorkstrand W Yegor Chinakhov,,Travis Konecny,W,4.12%,1.5
53,5003244154,novice1,399.22998,21,C Connor McDavid C Joel Eriksson Ek D Mattias Ekholm D LOCKED G LOCKED UTIL Kent Johnson W Zach Hyman W Ryan Nugent-Hopkins W Juraj Slafkovsky,,Rasmus Dahlin,D,4.12%,0
54,5002623337,Cicima6709 (1/5),400,20.9,C Tim Stuetzle C LOCKED D Darren Raddysh D Brock Faber G Dennis Hildeby UTIL Jake McCabe W Rickard Rakell W Anthony Mantha W LOCKED,,Yegor Chinakhov,W,4.12%,0
55,5003139723,FatsoFat6969 (2/2),437.34,20.8,C Joel Eriksson Ek C Noah Cates D Cam York D LOCKED G Igor Shesterkin UTIL LOCKED W Kirill Kaprizov W Matt Boldy W Bobby Brink,,Jake McCabe,UTIL,4.12%,6.9
55,5002666345,Cal_Naughton_Jr,397.34,20.8,C Connor McDavid C Josh Norris D Evan Bouchard D Jared Spurgeon G Igor Shesterkin UTIL Josh Doan W Zach Hyman W Ryan Nugent-Hopkins W Noah Ostlund,,Josh Norris,C,4.12%,0
57,5003142749,hawkeyemcnutt (1/5),377.69,20.7,C Sidney Crosby C LOCKED D Erik Karlsson D Lane Hutson G Andrei Vasilevskiy UTIL Ivan Demidov W Bryan Rust W Rickard Rakell W Juraj Slafkovsky,,David Perron,W,4.12%,0
58,5003155426,EricX,440,20.6,C Pavel Zacha C LOCKED D Jake Sanderson D Charlie McAvoy G LOCKED UTIL LOCKED W Casey Mittelstadt W Marat Khusnutdinov W LOCKED,,Nikita Zadorov,D,4.12%,1.3
59,5003070958,jagibbs22 (3/4),403.12,20.1,C Tage Thompson C Brayden Point D Cam York D LOCKED G Andrei Vasilevskiy UTIL Josh Doan W Nikita Kucherov W Oliver Bjorkstrand W Peyton Krebs,,Christian Dvorak,C,3.53%,4.5
59,5003211156,easton136,400,20.099998,C Tim Stuetzle C LOCKED D Jake Sanderson D LOCKED G Jesper Wallstedt UTIL Fabian Zetterlund W Brady Tkachuk W Bryan Rust W Anthony Mantha,,Nick Lardis,W,3.53%,0
59,5002896805,bkreider (5/5),358.46,20.099998,C Tim Stuetzle C Ridly Greig D Quinn Hughes D Jake Sanderson G Jesper Wallstedt UTIL Brady Tkachuk W Ivan Demidov W Juraj Slafkovsky W Fabian Zetterlund,,Ryan McLeod,C,3.53%,0
62,5002726063,tommybomb7 (4/5),459.23,20,C Justin Sourdif C LOCKED D Lane Hutson D LOCKED G LOCKED UTIL LOCKED W Tom Wilson W Aliaksei Protas W LOCKED,,Jakob Chychrun,D,3.53%,10
63,5002623766,jaker1soe,420,19.9,C Tim Stuetzle C LOCKED D Darnell Nurse D Artem Zub G Jesper Wallstedt UTIL LOCKED W Brady Tkachuk W Fabian Zetterlund W LOCKED,,Travis Sanheim,D,3.53%,0
63,5003573126,ninjakat900,377.34,19.899998,C Connor McDavid C Josh Norris D Evan Bouchard D Nikita Zadorov G Jesper Wallstedt UTIL Noah Ostlund W Zach Hyman W Ryan Nugent-Hopkins W Alex Tuch,,Lane Hutson,D,3.53%,5
65,5002853377,moods,425.78,19.8,C Connor McDavid C LOCKED D Evan Bouchard D LOCKED G Anton Forsberg UTIL LOCKED W Zach Hyman W Jack Quinn W Yegor Chinakhov,,Jake Guentzel,W,3.53%,6.3
66,5002896804,bkreider (4/5),423.12,19.5,C Tim Stuetzle C Sean Couturier D Jake Sanderson D Jamie Drysdale G LOCKED UTIL LOCKED W Brady Tkachuk W Owen Tippett W Carl Grundstrom,,Alexandre Carrier,D,2.94%,0
67,5003090427,cutnutz35 (5/5),365.01,19.300001,C Connor McDavid C Dylan Cozens D Owen Power D Jordan Spence G Spencer Knight UTIL Adam Fantilli W Zach Hyman W Drake Batherson W Dmitri Voronkov,,Mika Zibanejad,C,2.94%,0
67,5003267849,aarthur,460,19.3,C Tim Stuetzle C LOCKED D Jared Spurgeon D LOCKED G Igor Shesterkin UTIL LOCKED W Brady Tkachuk W Fabian Zetterlund W LOCKED,,Vasily Podkolzin,W,2.94%,0
67,5002571532,saulgoodman23 (2/5),448.9,19.3,C Tage Thompson C LOCKED D Rasmus Dahlin D LOCKED G LOCKED UTIL Alex Tuch W Josh Doan W Zach Benson W Oliver Bjorkstrand,,Pavel Zacha,C,2.94%,10
67,5002817703,AJTruth33 (1/2),420,19.3,C Dylan Cozens C LOCKED D Zach Werenski D Quinn Hughes G Dennis Hildeby UTIL LOCKED W Drake Batherson W Vladimir Tarasenko W LOCKED,,Artyom Levshunov,D,2.94%,0
71,5003429599,isupol (1/5),383.47,18.9,C Brayden Point C LOCKED D Lane Hutson D Darren Raddysh G Samuel Ersson UTIL Ivan Demidov W Nikita Kucherov W Juraj Slafkovsky W Oliver Bjorkstrand,,Rasmus Sandin,D,2.94%,1.5
72,5003621208,Felixxberg,431.56,18.8,C Tage Thompson C Tim Stuetzle D Ryan McDonagh D Scott Morrow G Jesper Wallstedt UTIL Vincent Trocheck W Brady Tkachuk W J.T. Miller W Josh Doan,,Alexis Lafreniere,W,2.35%,0
72,5002932903,dfssheets (1/2),365.78,18.8,C Tim Stuetzle C Ryan McLeod D Jake Sanderson D Ryan McDonagh G Jesper Wallstedt UTIL Fabian Zetterlund W Kirill Kaprizov W Brady Tkachuk W Vladimir Tarasenko,,Peyton Krebs,UTIL,2.35%,0
74,5002623566,Cicima6709 (3/5),400,18.7,C Dylan Cozens C LOCKED D Erik Karlsson D Brock Faber G Andrei Vasilevskiy UTIL LOCKED W Bryan Rust W Rickard Rakell W Anthony Mantha,,Jack Quinn,W,2.35%,11.3
75,5002819977,supremexjp,397.34,18.599998,C Connor McDavid C Tage Thompson D Nikita Zadorov D LOCKED G Jesper Wallstedt UTIL Peyton Krebs W Zach Hyman W Ryan Nugent-Hopkins W Josh Doan,,Alex Ovechkin,W,2.35%,3
75,5002909800,clothsofheaven (3/5),397.34,18.599998,C Connor McDavid C Josh Norris D Bowen Byram D Ryan McDonagh G Jesper Wallstedt UTIL LOCKED W Zach Hyman W Ryan Nugent-Hopkins W Alex Tuch,,Anthony Cirelli,UTIL,2.35%,5
75,5003090423,cutnutz35 (1/5),379.23,18.599998,C Joel Eriksson Ek C LOCKED D Artyom Levshunov D Rasmus Sandin G Jesper Wallstedt UTIL Aliaksei Protas W Kirill Kaprizov W Matt Boldy W Connor McMichael,,Linus Ullmark,G,2.35%,5.6
78,5002571534,saulgoodman23 (4/5),397.34,18.3,C Brayden Point C Christian Dvorak D Darren Raddysh D LOCKED G Jesper Wallstedt UTIL Travis Konecny W Nikita Kucherov W Trevor Zegras W Oliver Bjorkstrand,,Zack Bolduc,W,2.35%,10
79,5003429998,isupol (3/5),380,18.2,C Brayden Point C Dylan Cozens D Jake Sanderson D Darren Raddysh G Dennis Hildeby UTIL LOCKED W Nikita Kucherov W Drake Batherson W Oliver Bjorkstrand,,Bobby Brink,W,2.35%,6.5
80,5002762101,I_Slewfoot_U (1/5),400,17.800001,C Sidney Crosby C Pavel Zacha D Erik Karlsson D LOCKED G Arturs Silovs UTIL LOCKED W David Pastrnak W Bryan Rust W Rickard Rakell,,Zach Benson,W,1.76%,5
80,5002960760,nolt0032 (1/5),359.23,17.800001,C Joel Eriksson Ek C Ridly Greig D Zach Werenski D Jordan Spence G Spencer Knight UTIL Claude Giroux W Kirill Kaprizov W Matt Boldy W Yegor Chinakhov,,Darnell Nurse,D,1.76%,4.1
82,5003235369,DollarBillW (5/5),419.23,17.5,C Auston Matthews C LOCKED D Noah Dobson D Jake McCabe G Jet Greaves UTIL LOCKED W William Nylander W Matthew Knies W LOCKED,,Will Cuylle,W,1.76%,0
83,5003374347,luckyguesses (2/5),379.23,17.400002,C Joel Eriksson Ek C Charlie Coyle D Quinn Hughes D LOCKED G Spencer Knight UTIL Kirill Kaprizov W Matt Boldy W Cole Sillinger W Miles Wood,,Tom Wilson,UTIL,1.76%,0
84,5003061035,hopkinst,417.34,17.3,C Connor McDavid C LOCKED D Travis Sanheim D Cam York G Jesper Wallstedt UTIL LOCKED W Zach Hyman W Ryan Nugent-Hopkins W Josh Doan,,Dylan Strome,C,1.76%,1.5
85,5002762102,I_Slewfoot_U (2/5),378.46002,17.2,C Connor McDavid C LOCKED D Evan Bouchard D Artyom Levshunov G Tristan Jarry UTIL Yegor Chinakhov W Zach Hyman W Ryan Nugent-Hopkins W Nick Lardis,,J.J. Moser,D,1.76%,2.8
86,5002960764,nolt0032 (5/5),420,16.900002,C Adam Fantilli C LOCKED D Zach Werenski D LOCKED G Dennis Hildeby UTIL LOCKED W Matt Boldy W Kirill Marchenko W Dmitri Voronkov,,Michael Amadio,W,1.76%,0
86,5003041599,jagibbs22 (1/4),480,16.9,C LOCKED C LOCKED D Zach Werenski D Quinn Hughes G Logan Thompson UTIL LOCKED W LOCKED W LOCKED W LOCKED,,Carl Grundstrom,W,1.76%,0
88,5003128773,Hunter4ever89 (2/5),425.78,16.7,C Connor McDavid C LOCKED D Rasmus Ristolainen D Ryan McDonagh G Dennis Hildeby UTIL LOCKED W Zach Hyman W Ryan Nugent-Hopkins W LOCKED,,Jordan Spence,D,1.76%,1.5
88,5003128775,Hunter4ever89 (4/5),405.01,16.7,C Connor McDavid C LOCKED D Alexandre Carrier D Ryan McDonagh G Dennis Hildeby UTIL Rasmus Ristolainen W Zach Hyman W Ryan Nugent-Hopkins W LOCKED,,Tommy Novak,C,1.76%,0
90,5002650422,tide182 (2/2),480,16.5,C Tim Stuetzle C LOCKED D LOCKED D LOCKED G Igor Shesterkin UTIL LOCKED W Brady Tkachuk W Fabian Zetterlund W LOCKED,,Noah Cates,UTIL,1.76%,10
90,5002896802,bkreider (2/5),460,16.5,C Tim Stuetzle C Mika Zibanejad D Jake Sanderson D LOCKED G Igor Shesterkin UTIL LOCKED W Brady Tkachuk W Fabian Zetterlund W LOCKED,,J.T. Miller,W,1.76%,0
90,5002939388,dfssheets (2/2),398.46,16.5,C Joel Eriksson Ek C Tim Stuetzle D LOCKED D LOCKED G Dennis Hildeby UTIL Kirill Kaprizov W Matt Boldy W Zack Bolduc W Brendan Gallagher,,Nick Suzuki,C,1.76%,0
93,5003369590,tonymilanese13,500,16.3,C LOCKED C LOCKED D Jakob Chychrun D Charlie McAvoy G LOCKED UTIL LOCKED W LOCKED W LOCKED W LOCKED,,Cole Caufield,W,1.76%,6.5
94,5003433684,FantasySultan,431.56,15.2,C Tage Thompson C Tim Stuetzle D Jake Sanderson D Rasmus Dahlin G Dennis Hildeby UTIL LOCKED W Brady Tkachuk W LOCKED W LOCKED,,Samuel Ersson,G,1.76%,-2.1
95,5002725163,HossDaBeast (3/5),460,14.5,C Mika Zibanejad C Dylan Strome D Jakob Chychrun D LOCKED G Igor Shesterkin UTIL Alexis Lafreniere W Alex Ovechkin W Tom Wilson W Will Cuylle,,Anthony Beauvillier,W,1.76%,0
96,5003435105,HubRats,405.01,14.3,C Connor McDavid C Elias Lindholm D Louis Crevier D LOCKED G LOCKED UTIL Travis Konecny W Matt Boldy W Zach Hyman W Anthony Mantha,,Trevor Zegras,W,1.18%,0
97,5003455215,gustavo0413 (3/3),459.23,13.7,C LOCKED C LOCKED D Jakob Chychrun D LOCKED G Spencer Knight UTIL LOCKED W Alex Ovechkin W Anthony Beauvillier W LOCKED,,Ivan Provorov,D,1.18%,0
97,5002960761,nolt0032 (2/5),359.23,13.7,C Connor McDavid C Leon Draisaitl D Erik Karlsson D Jordan Spence G Spencer Knight UTIL Anthony Mantha W Morgan Geekie W Claude Giroux W Michael Amadio,,Artem Zub,D,1.18%,0
99,5003402622,SkullandCrossbones,420,13.6,C Tim Stuetzle C LOCKED D Erik Karlsson D LOCKED G Jesper Wallstedt UTIL LOCKED W Matt Boldy W Drake Batherson W Vladimir Tarasenko,,Matt Savoie,W,1.18%,0
100,5003499267,isupol (5/5),425.78,13.499999,C Elias Lindholm C LOCKED D Charlie McAvoy D LOCKED G Dennis Hildeby UTIL Zach Benson W David Pastrnak W Morgan Geekie W LOCKED,,Noah Ostlund,W,1.18%,1.5
101,5003569221,ekim8,420,13.400001,C Elias Lindholm C LOCKED D Charlie McAvoy D Jared Spurgeon G Jesper Wallstedt UTIL LOCKED W David Pastrnak W Morgan Geekie W LOCKED,,Danila Yurov,C,1.18%,0
102,5002815589,chefmed804,360,13,C Brayden Point C Dylan Cozens D Darren Raddysh D Andrew Peeke G Dennis Hildeby UTIL David Perron W Nikita Kucherov W Jake Guentzel W Drake Batherson,,John Carlson,D,1.18%,5
103,5002623505,Cicima6709 (2/5),440,12.900001,C LOCKED C LOCKED D Brock Faber D Jake McCabe G Dennis Hildeby UTIL LOCKED W Rickard Rakell W Anthony Mantha W LOCKED,,Jamie Drysdale,D,1.18%,0
104,5002909801,clothsofheaven (4/5),431.56,12.8,C Anthony Cirelli C LOCKED D Travis Sanheim D Drew Doughty G LOCKED UTIL LOCKED W Nikita Kucherov W Jake Guentzel W Travis Konecny,,Ryan Greene,C,1.18%,1.3
105,5002742838,jdmercer,411.56,12.7,C Josh Norris C LOCKED D Darren Raddysh D LOCKED G Andrei Vasilevskiy UTIL Anthony Mantha W Kirill Kaprizov W Matt Boldy W Alex Tuch,,Aliaksei Protas,W,1.18%,10
106,5003539418,madbx8,445.78,12,C Connor McDavid C Leon Draisaitl D Darnell Nurse D LOCKED G Samuel Ersson UTIL Pavel Buchnevich W Zach Hyman W LOCKED W LOCKED,,Arturs Silovs,G,1.18%,0.7
107,5003136111,q80minouma,377.34,11.8,C Connor McDavid C Dylan Cozens D Darren Raddysh D Cam York G Jesper Wallstedt UTIL Travis Konecny W Zach Hyman W Josh Doan W Anthony Mantha,,Tristan Jarry,G,1.18%,0.7
108,5002909802,clothsofheaven (5/5),420,11.7,C LOCKED C LOCKED D Darren Raddysh D Ryan McDonagh G Dennis Hildeby UTIL LOCKED W David Pastrnak W Morgan Geekie W Oliver Bjorkstrand,,Mason Lohrei,D,1.18%,0
109,5003128389,rahmanisayev,425.78,11.6,C Dylan Cozens C LOCKED D Rasmus Ristolainen D LOCKED G Jesper Wallstedt UTIL Matt Boldy W Kirill Kaprizov W Drake Batherson W LOCKED,,Drew Doughty,D,1.18%,0
