Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
LW,Isak Rosen (41238485),Isak Rosen,41238485,W/UTIL,2500,PHI@BUF 12/18/2025 07:30PM ET,BUF,6.39
LW,Mason Geertsen (41238487),Mason Geertsen,41238487,W/UTIL,2500,PHI@BUF 12/18/2025 07:30PM ET,BUF,0.3
D,Rasmus Ristolainen (41238777),Rasmus Ristolainen,41238777,D/UTIL,2500,PHI@BUF 12/18/2025 07:30PM ET,PHI,4.1
D,Noah Juulsen (41238779),Noah Juulsen,41238779,D/UTIL,2500,PHI@BUF 12/18/2025 07:30PM ET,PHI,3.14
D,Egor Zamula (41238781),Egor Zamula,41238781,D/UTIL,2500,PHI@BUF 12/18/2025 07:30PM ET,PHI,3.15
D,Adam Ginning (41238783),Adam Ginning,41238783,D/UTIL,2500,PHI@BUF 12/18/2025 07:30PM ET,PHI,1.9
D,Ty Murchison (41238785),Ty Murchison,41238785,D/UTIL,2500,PHI@BUF 12/18/2025 07:30PM ET,PHI,1.37
D,Conor Timmins (41238863),Conor Timmins,41238863,D/UTIL,2500,PHI@BUF 12/18/2025 07:30PM ET,BUF,6.48
D,Jacob Bryson (41238865),Jacob Bryson,41238865,D/UTIL,2500,PHI@BUF 12/18/2025 07:30PM ET,BUF,2.14
D,Zach Metsa (41238867),Zach Metsa,41238867,D/UTIL,2500,PHI@BUF 12/18/2025 07:30PM ET,BUF,1.02
D,Ryan Johnson (41238869),Ryan Johnson,41238869,D/UTIL,2500,PHI@BUF 12/18/2025 07:30PM ET,BUF,1.3
