Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Denton Mateychuk (41238637),Denton Mateychuk,41238637,D/UTIL,3100,MIN@CBJ 12/18/2025 07:00PM ET,CBJ,7.08
LW,Vasily Podkolzin (41238241),Vasily Podkolzin,41238241,W/UTIL,3100,EDM@BOS 12/18/2025 07:00PM ET,EDM,6.72
C,Shane Wright (41237937),Shane Wright,41237937,C/UTIL,3100,SEA@CGY 12/18/2025 09:00PM ET,SEA,6.50
RW,Justin Brazeau (41238243),Justin Brazeau,41238243,W/UTIL,3100,PIT@OTT 12/18/2025 07:00PM ET,PIT,9.46
C,Matt Duchene (41237939),Matt Duchene,41237939,C/UTIL,3100,DAL@SJS 12/18/2025 10:00PM ET,DAL,5.53
D,Alexander Petrovic (41238641),Alexander Petrovic,41238641,D/UTIL,3100,DAL@SJS 12/18/2025 10:00PM ET,DAL,6.41
RW,Trevor Moore (41238237),Trevor Moore,41238237,W/UTIL,3100,LAK@TBL 12/18/2025 07:00PM ET,LAK,6.41
RW,Ethen Frank (41238235),Ethen Frank,41238235,W/UTIL,3100,TOR@WSH 12/18/2025 07:00PM ET,WSH,5.61
RW,Bobby McMann (41238239),Bobby McMann,41238239,W/UTIL,3100,TOR@WSH 12/18/2025 07:00PM ET,TOR,6.51
D,Matt Roy (41238639),Matt Roy,41238639,D/UTIL,3100,TOR@WSH 12/18/2025 07:00PM ET,WSH,7.47
LW,Miles Wood (41238249),Miles Wood,41238249,W/UTIL,3000,MIN@CBJ 12/18/2025 07:00PM ET,CBJ,6.12
LW,Casey Mittelstadt (41238253),Casey Mittelstadt,41238253,W/UTIL,3000,EDM@BOS 12/18/2025 07:00PM ET,BOS,6.25
D,Andrew Peeke (41238645),Andrew Peeke,41238645,D/UTIL,3000,EDM@BOS 12/18/2025 07:00PM ET,BOS,6.81
C,Ryan McLeod (41237943),Ryan McLeod,41237943,C/UTIL,3000,PHI@BUF 12/18/2025 07:30PM ET,BUF,5.78
D,Bowen Byram (41238651),Bowen Byram,41238651,D/UTIL,3000,PHI@BUF 12/18/2025 07:30PM ET,BUF,6.75
LW,Connor Zary (41238257),Connor Zary,41238257,W/UTIL,3000,SEA@CGY 12/18/2025 09:00PM ET,CGY,3.88
RW,Ilya Mikheyev (41238247),Ilya Mikheyev,41238247,W/UTIL,3000,CHI@MTL 12/18/2025 07:00PM ET,CHI,5.03
LW,Alexandre Texier (41238255),Alexandre Texier,41238255,W/UTIL,3000,CHI@MTL 12/18/2025 07:00PM ET,MTL,4.58
D,Artyom Levshunov (41238643),Artyom Levshunov,41238643,D/UTIL,3000,CHI@MTL 12/18/2025 07:00PM ET,CHI,5.84
D,Alexandre Carrier (41238647),Alexandre Carrier,41238647,D/UTIL,3000,CHI@MTL 12/18/2025 07:00PM ET,MTL,6.83
